next_result,weighted_average5,weighted_average10
0,-100.3333333,-70.67272727
-1,-43.06666667,11.12727273
0,-2239.266667,-2180.327273
-1,-1294.666667,-1585.818182
1,-1636.133333,-2154.145455
1,-406.2,-1173.963636
0,800.4,17.45454545
1,158.6666667,-389.9818182
1,871.1333333,559.2181818
1,1780.133333,1777
1,1998.4,2407.509091
-1,3937.533333,4694.8
1,1215.066667,2529.745455
0,1130.866667,2536.818182
0,387.7333333,1770.781818
-1,256.5333333,1408.709091
1,-1469.733333,-608.0545455
0,1093.933333,1385.363636
0,777,1008.781818
1,796.8,994.3272727
-1,2088.933333,2343.945455
-1,445.5333333,1006.854545
0,-779.0666667,-119.0363636
0,-727.8,-292.8545455
1,-349.2,-142.5636364
0,537.0666667,549.6363636
-1,220.4,170.8909091
-1,-1265.533333,-1321.072727
